Strategy,Final Value,PnL,PnL %,Total Trades,Won,Lost,Win Rate %,Max Drawdown %,Max DD Duration (bars),Sharpe Ratio,Symbol,Days
Keltner + EMA Cross,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,CUPID,114
Keltner Breakout (ATR 1.5),212338.08,112338.08,112.34,1,1,0,100.0,10.62,27.0,0.0,CUPID,114
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,CUPID,114
Squeeze Breakout,94670.31,-5329.69,-5.33,1,0,0,0.0,5.33,1.0,0.0,CUPID,114
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],94165.94,-5834.06,-5.83,1,0,1,0.0,6.09,92.0,0.0,DEEPAKNTR,114
Keltner 5-Rule Retracement,94165.94,-5834.06,-5.83,1,0,1,0.0,6.09,92.0,0.0,DEEPAKNTR,114
Keltner + EMA Cross,96285.82,-3714.18,-3.71,1,0,1,0.0,8.32,32.0,0.0,DEEPAKNTR,114
Keltner Breakout (ATR 1.5),86470.94,-13529.06,-13.53,3,0,3,0.0,14.87,92.0,0.0,DEEPAKNTR,114
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,DEEPAKNTR,114
Squeeze Breakout,96251.48,-3748.52,-3.75,2,0,1,0.0,4.82,51.0,0.0,DEEPAKNTR,114
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],117090.91,17090.91,17.09,1,1,0,100.0,9.35,45.0,0.0,EFFWA-ST,102
Keltner 5-Rule Retracement,111998.5,11998.5,12.0,1,1,0,100.0,9.27,45.0,0.0,EFFWA-ST,102
Keltner + EMA Cross,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,EFFWA-ST,102
Keltner Breakout (ATR 1.5),123275.74,23275.74,23.28,2,1,0,50.0,11.54,45.0,0.0,EFFWA-ST,102
Bollinger RSI,107794.97,7794.97,7.79,1,0,0,0.0,8.18,4.0,0.0,EFFWA-ST,102
Squeeze Breakout,97335.11,-2664.89,-2.66,1,0,1,0.0,12.13,5.0,0.0,EFFWA-ST,102
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,ELIN,114
Keltner 5-Rule Retracement,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,ELIN,114
Keltner + EMA Cross,84494.4,-15505.6,-15.51,2,0,2,0.0,15.51,48.0,0.0,ELIN,114
Keltner Breakout (ATR 1.5),87785.44,-12214.56,-12.21,1,0,1,0.0,12.34,49.0,0.0,ELIN,114
Bollinger RSI,100973.6,973.6,0.97,1,0,0,0.0,1.66,1.0,0.0,ELIN,114
Squeeze Breakout,89040.23,-10959.77,-10.96,2,0,1,0.0,12.34,49.0,0.0,ELIN,114
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],89698.81,-10301.19,-10.3,3,0,2,0.0,13.26,52.0,0.0,ELLEN,114
Keltner 5-Rule Retracement,89109.67,-10890.33,-10.89,3,0,2,0.0,13.83,65.0,0.0,ELLEN,114
Keltner + EMA Cross,86258.66,-13741.34,-13.74,1,0,1,0.0,14.48,52.0,0.0,ELLEN,114
Keltner Breakout (ATR 1.5),95321.13,-4678.87,-4.68,3,0,2,0.0,9.22,52.0,0.0,ELLEN,114
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,ELLEN,114
Squeeze Breakout,84747.81,-15252.19,-15.25,1,0,1,0.0,15.25,80.0,0.0,ELLEN,114
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],103669.47,3669.47,3.67,1,1,0,100.0,7.04,45.0,0.0,FIVESTAR,114
Keltner 5-Rule Retracement,103669.47,3669.47,3.67,1,1,0,100.0,7.04,45.0,0.0,FIVESTAR,114
Keltner + EMA Cross,107841.63,7841.63,7.84,1,1,0,100.0,7.11,39.0,0.0,FIVESTAR,114
Keltner Breakout (ATR 1.5),109590.99,9590.99,9.59,1,1,0,100.0,7.11,45.0,0.0,FIVESTAR,114
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,FIVESTAR,114
Squeeze Breakout,96316.85,-3683.15,-3.68,3,1,2,33.33,10.34,45.0,0.0,FIVESTAR,114
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,FORCEMOT,114
Keltner 5-Rule Retracement,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,FORCEMOT,114
Keltner + EMA Cross,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,FORCEMOT,114
Keltner Breakout (ATR 1.5),94391.41,-5608.59,-5.61,1,0,1,0.0,5.61,29.0,0.0,FORCEMOT,114
Bollinger RSI,97363.95,-2636.05,-2.64,1,0,0,0.0,10.69,58.0,0.0,FORCEMOT,114
Squeeze Breakout,94391.41,-5608.59,-5.61,1,0,1,0.0,5.61,29.0,0.0,FORCEMOT,114
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,FORTIS,114
Keltner 5-Rule Retracement,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,FORTIS,114
Keltner + EMA Cross,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,FORTIS,114
Keltner Breakout (ATR 1.5),95663.4,-4336.6,-4.34,1,0,1,0.0,4.7,91.0,0.0,FORTIS,114
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,FORTIS,114
Squeeze Breakout,91990.15,-8009.85,-8.01,3,0,2,0.0,8.71,33.0,0.0,FORTIS,114
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],90697.72,-9302.28,-9.3,2,0,1,0.0,11.58,86.0,0.0,GESHIP,114
Keltner 5-Rule Retracement,89571.73,-10428.27,-10.43,1,0,1,0.0,11.58,86.0,0.0,GESHIP,114
Keltner + EMA Cross,93404.71,-6595.29,-6.6,1,0,1,0.0,6.6,61.0,0.0,GESHIP,114
Keltner Breakout (ATR 1.5),89121.37,-10878.63,-10.88,2,0,1,0.0,12.38,86.0,0.0,GESHIP,114
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,GESHIP,114
Squeeze Breakout,102165.4,2165.4,2.17,2,0,1,0.0,6.63,26.0,0.0,GESHIP,114
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],100433.93,433.93,0.43,2,1,1,50.0,9.99,59.0,0.0,GIPCL,114
Keltner 5-Rule Retracement,98525.23,-1474.77,-1.47,3,1,2,33.33,11.7,60.0,0.0,GIPCL,114
Keltner + EMA Cross,113341.73,13341.73,13.34,2,0,1,0.0,10.91,27.0,0.0,GIPCL,114
Keltner Breakout (ATR 1.5),100433.93,433.93,0.43,2,1,1,50.0,9.99,59.0,0.0,GIPCL,114
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,GIPCL,114
Squeeze Breakout,114204.65,14204.65,14.2,1,1,0,100.0,2.5,7.0,0.0,GIPCL,114
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],95796.2,-4203.8,-4.2,2,0,2,0.0,6.98,69.0,0.0,GOLDBEES,114
Keltner 5-Rule Retracement,95796.2,-4203.8,-4.2,2,0,2,0.0,6.98,69.0,0.0,GOLDBEES,114
Keltner + EMA Cross,97784.31,-2215.69,-2.22,2,1,1,50.0,6.84,68.0,0.0,GOLDBEES,114
Keltner Breakout (ATR 1.5),97134.46,-2865.54,-2.87,2,1,1,50.0,6.96,68.0,0.0,GOLDBEES,114
Bollinger RSI,104787.98,4787.98,4.79,1,1,0,100.0,3.85,29.0,0.0,GOLDBEES,114
Squeeze Breakout,100766.64,766.64,0.77,1,1,0,100.0,6.96,19.0,0.0,GOLDBEES,114
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],101163.76,1163.76,1.16,1,1,0,100.0,13.3,70.0,0.0,GPECO-ST,102
Keltner 5-Rule Retracement,101163.76,1163.76,1.16,1,1,0,100.0,13.3,70.0,0.0,GPECO-ST,102
Keltner + EMA Cross,103874.93,3874.93,3.87,2,0,1,0.0,13.91,70.0,0.0,GPECO-ST,102
Keltner Breakout (ATR 1.5),101163.76,1163.76,1.16,1,1,0,100.0,13.3,70.0,0.0,GPECO-ST,102
Bollinger RSI,118278.42,18278.42,18.28,1,0,0,0.0,3.64,5.0,0.0,GPECO-ST,102
